"Post image","Post title","Publish date","Post views","Avg. reading time","Engagement"
"https://static.wixstatic.com/media/b4a6a2_1d8a6740ed19441abf8903980ba7ad41~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_1d8a6740ed19441abf8903980ba7ad41~mv2.jpg","🚀 365 Days of Stories: Day 33 🌟 Chasing a Dream One Apartment at a Time","28/3/2025","0","10s","0"
"https://static.wixstatic.com/media/b4a6a2_26e52a1330ed48298126c3cbb2f3798f~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_26e52a1330ed48298126c3cbb2f3798f~mv2.jpg","🚀 365 Days of Stories: Day 31 - A Bold Pivot to Fix My Startup’s Core Problem!","27/3/2025","0","4s","0"
"https://static.wixstatic.com/media/b4a6a2_20370ca95f584311adf01101e9487d30~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_20370ca95f584311adf01101e9487d30~mv2.jpg","🚀 365 Days of Stories: Day 32 - I Changed My Business Model But the Problem Wasn’t Solved! Still a Long Way to Go!","27/3/2025","0","11s, 1000ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","🚀 365 Days of Stories: Day 30 - When I Took My Startup to the Streets—Literally!","23/3/2025","0","30s, 500ms","0"
"https://static.wixstatic.com/media/b4a6a2_397c962aa6da43d2b8da2e91a27a3117~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_397c962aa6da43d2b8da2e91a27a3117~mv2.webp","🚀 365 Days of Stories: Day 28 - A Strong Partnership and Global Expansion","22/3/2025","0","1s","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","📖 365 Days of Stories: Day 29: 🚀 My First Entrepreneurial Journey—Left Incomplete But Revived After 2 Years!","22/3/2025","0","10s, 500ms","0"
"https://static.wixstatic.com/media/b4a6a2_f7089ac74d0445b29034848ffcef5222~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_f7089ac74d0445b29034848ffcef5222~mv2.webp","🚀 365 Days of Stories: Day 27 - Restructuring for Success: Building the Right Team","20/3/2025","0","2s","0"
"https://static.wixstatic.com/media/b4a6a2_e974239d8d014fcc93797143e144213a~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_e974239d8d014fcc93797143e144213a~mv2.webp","🚀 365 Days of Stories: Day 26 - Turning Around a Global Enterprise Account in 2 Months","18/3/2025","2","1m, 32s","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories - Day 25: Navigating Hiring Challenges & Building a Strong Team","14/3/2025","0","13s","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories - Day 24: Team Ramp-Up Strategy – Hiring Fresh Talent Quickly","12/3/2025","0","18s, 492ms","0"
"https://static.wixstatic.com/media/b4a6a2_5bffc44597344d248d818936c61e7d14~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_5bffc44597344d248d818936c61e7d14~mv2.webp","365 Days of Stories - Day 23: Tackling Major Issues – Customer Demands & Focused Priorities","11/3/2025","1","1m, 4s","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 21: Leadership Conflicts & The Hardest Decision I Had to Make","6/3/2025","0","1m, 6s","0"
"https://static.wixstatic.com/media/b4a6a2_7bf074f3bb7f4ab2b5198f343dc1ba7b~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_7bf074f3bb7f4ab2b5198f343dc1ba7b~mv2.webp","365 Days of Stories – Day 19: Navigating Internal Resistance & Earning CEO’s Support","4/3/2025","0","3s","0"
"https://static.wixstatic.com/media/b4a6a2_95de0c6e1d1649369243835143254c83~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_95de0c6e1d1649369243835143254c83~mv2.webp","365 Days of Stories – Day 17: When Customer Leader Priorities Clash with CEO Directives","3/3/2025","0","11s, 1000ms","0"
"https://static.wixstatic.com/media/b4a6a2_c56a85a0f4c2462e94d43576a79e88c0~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_c56a85a0f4c2462e94d43576a79e88c0~mv2.webp","365 Days of Stories – Day 18: Navigating Conflicts – First the Customer Now the Architects","3/3/2025","0","3s","0"
"https://static.wixstatic.com/media/b4a6a2_b4d6c71803c546d8bc8aff35ecb80d99~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_b4d6c71803c546d8bc8aff35ecb80d99~mv2.webp","365 Days of Stories – Day 16: Restructuring Teams & Aligning Priorities in a Crisis","28/2/2025","2",,"0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 14: Turning Performance Challenges into a Competitive Advantage","26/2/2025","1","20s, 134ms","3"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 15: When Tough Decisions Had to Be Made","26/2/2025","2","19s, 333ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 13: Turning Around a High-Stakes Automation Project","25/2/2025","0","5s, 1000ms","0"
"https://static.wixstatic.com/media/b4a6a2_070f5c227e384c75bd03f125d2b6a8ad~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_070f5c227e384c75bd03f125d2b6a8ad~mv2.png","365 Days of Stories – Day 12: The Coding Marathon & The Harsh Reality of Entrepreneurship","22/2/2025","2","47s, 613ms","0"
"https://static.wixstatic.com/media/b4a6a2_d82fdb6f09fa4c21b5077262535951ad~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_d82fdb6f09fa4c21b5077262535951ad~mv2.png","365 Days of Stories – Day 11: Cracking the Ride Request Search Algorithm – Finding Requests for a Ride","21/2/2025","0","500ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 10: Cracking the Ride Search Algorithm – Matching Ride Requests to Rides","20/2/2025","2","12s","0"
"https://static.wixstatic.com/media/b4a6a2_84104a11e98b4208ae721a53dd0c59a0~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_84104a11e98b4208ae721a53dd0c59a0~mv2.png","365 Days of Stories – Day 9: The Evolution of Ride Matching – Handling GPS Precision & Spherical Geometry","20/2/2025","1","33s, 319ms","0"
"https://static.wixstatic.com/media/b4a6a2_f0360202f1b74e89b1152bd0175834ff~mv2.gif/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_f0360202f1b74e89b1152bd0175834ff~mv2.gif","365 Days of Stories – Day 8: The Evolution of Ride Matching – From Basic Geometry to Real-World Roads","19/2/2025","1","9s, 500ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 7: From Learning to Building – The Start of Product Development","18/2/2025","2","15s","0"
"https://static.wixstatic.com/media/b4a6a2_92bf71813e9343d298ff815a9ec7ee2c~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/b4a6a2_92bf71813e9343d298ff815a9ec7ee2c~mv2.png","365 Days of Stories – Day 6: Relearning to Code – Starting from Scratch","16/2/2025","5","1m, 38s","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 1: The Moment I Knew I Had to Leave IBM","15/2/2025","14","53s, 991ms","3"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 5: The Company That Didn’t Exist","15/2/2025","4","1m, 6s","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 3: Cracking the Code for Carpooling","15/2/2025","0","13s, 1000ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 2: How I Decided to Solve Traffic Congestion","15/2/2025","2","29s, 0ms","0"
"https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg","365 Days of Stories – Day 4: The Shift from Tech to Business & The Search for a CTO","15/2/2025","6","18s, 667ms","0"
